Symbol,Open
LEN,175.25999450683594
LEN,177.32000732421875
LEN,178.57000732421875
LEN,180.6499938964844
LLY,907.030029296875
LLY,867.6599731445312
LLY,864.7999877929688
LLY,870.0
LLY,872.5
LLY,847.0
LLY,811.8699951171875
LLY,814.010009765625
LLY,815.1799926757812
LLY,800.1699829101562
MAR,244.7700042724609
MAR,245.0
MAR,243.6100006103516
MAR,242.6600036621093
MAR,241.2400054931641
MAR,235.0
MAR,235.6000061035156
MAR,237.94000244140625
MAR,239.0
MAR,230.0
MTCH,35.58000183105469
MTCH,34.790000915527344
MTCH,34.790000915527344
MTCH,34.290000915527344
MTCH,34.040000915527344
MTCH,33.060001373291016
MTCH,33.29999923706055
MTCH,33.540000915527344
MTCH,33.18000030517578
MTCH,37.79999923706055
MCK,581.0
MCK,586.5599975585938
